;Cluster;cluster;signal;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count;GENEID
1617;CD8Tcells.Downregulated_yMB;CD8Tcells;Downregulated_yMB;GO:0030217;T cell differentiation;41/416;339/28891;1,20E-25;2,40E-22;1,64E-22;12010/58208/26992/12400/12772/12769/21940/12500/12501/12502/12505/12525/94176/14357/14127/22778/22780/16186/320404/16590/214162/16768/16818/16848/14728/80859/66923/19264/19419/381305/19883/12399/74131/20737/21414/21949/252838/22165/22637/235320/12192;41;B2m,Bcl11b,Brd7,Cbfb,Ccr2,Ccr9,Cd27,Cd3d,Cd3e,Cd3g,Cd44,Cd8a,Dock2,Dtx1,Fcer1g,Ikzf1,Ikzf3,Il2rg,Itpkb,Kit,Kmt2a,Lag3,Lck,Lfng,Lilrb4a,Nfkbiz,Pbrm1,Ptprc,Rasgrp1,Rc3h1,Rora,Runx3,Sash3,Spn,Tcf7,Tnfsf8,Tox,Txk,Zap70,Zbtb16,Zfp36l1
1620;CD8Tcells.Downregulated_yMB;CD8Tcells;Downregulated_yMB;GO:0046631;alpha-beta T cell activation;28/416;221/28891;2,10E-18;1,68E-15;1,15E-15;58208/12400/12772/54215/12501/12505/94176/56501/16186/320404/214162/14728/80859/72310/19264/320484/381305/19883/12399/74131/20737/21414/21949/252838/22165/16963/22637/235320;28;Bcl11b,Cbfb,Ccr2,Cd160,Cd3e,Cd44,Dock2,Elf4,Il2rg,Itpkb,Kmt2a,Lilrb4a,Nfkbiz,Nkg7,Ptprc,Rasal3,Rc3h1,Rora,Runx3,Sash3,Spn,Tcf7,Tnfsf8,Tox,Txk,Xcl1,Zap70,Zbtb16
1625;CD8Tcells.Downregulated_yMB;CD8Tcells;Downregulated_yMB;GO:0050851;antigen receptor-mediated signaling pathway;23/416;184/28891;3,26E-15;1,31E-12;8,93E-13;54215/12494/12501/12525/14360/20218/16792/16818/16822/14728/18033/80859/18803/234779/18755/101540/15170/19264/24105/381305/22165/232341/22637;23;Cd160,Cd38,Cd3e,Cd8a,Fyn,Khdrbs1,Laptm5,Lck,Lcp2,Lilrb4a,Nfkb1,Nfkbiz,Plcg1,Plcg2,Prkch,Prkd2,Ptpn6,Ptprc,Rbck1,Rc3h1,Txk,Wnk1,Zap70
1626;CD8Tcells.Downregulated_yMB;CD8Tcells;Downregulated_yMB;GO:0050863;regulation of T cell activation;32/416;411/28891;1,21E-14;4,40E-12;3,01E-12;12010/26992/12400/12772/54215/21940/12501/12505/12721/12988/14357/16186/320404/16768/16792/16818/14728/80859/66923/15170/19264/320484/19419/381305/12399/74131/20737/21414/252838/16963/22637/235320;32;B2m,Brd7,Cbfb,Ccr2,Cd160,Cd27,Cd3e,Cd44,Coro1a,Csk,Dtx1,Il2rg,Itpkb,Lag3,Laptm5,Lck,Lilrb4a,Nfkbiz,Pbrm1,Ptpn6,Ptprc,Rasal3,Rasgrp1,Rc3h1,Runx3,Sash3,Spn,Tcf7,Tox,Xcl1,Zap70,Zbtb16
1627;CD8Tcells.Downregulated_yMB;CD8Tcells;Downregulated_yMB;GO:0050852;T cell receptor signaling pathway;20/416;143/28891;2,40E-14;7,80E-12;5,34E-12;54215/12501/12525/14360/20218/16792/16818/16822/14728/80859/18803/234779/101540/15170/19264/24105/381305/22165/232341/22637;20;Cd160,Cd3e,Cd8a,Fyn,Khdrbs1,Laptm5,Lck,Lcp2,Lilrb4a,Nfkbiz,Plcg1,Plcg2,Prkd2,Ptpn6,Ptprc,Rbck1,Rc3h1,Txk,Wnk1,Zap70
2466;CD8Tcells.Upregulated_yMB;CD8Tcells;Upregulated_yMB;GO:0071827;plasma lipoprotein particle organization;May 60;42/28891;2,61E-08;4,29E-06;2,92E-06;11806/11808/238055/11814/13350;5;Apoa1,Apoa4,Apob,Apoc3,Dgat1
2469;CD8Tcells.Upregulated_yMB;CD8Tcells;Upregulated_yMB;GO:0071825;protein-lipid complex organization;May 60;46/28891;4,18E-08;5,00E-06;3,39E-06;11806/11808/238055/11814/13350;5;Apoa1,Apoa4,Apob,Apoc3,Dgat1
2472;CD8Tcells.Upregulated_yMB;CD8Tcells;Upregulated_yMB;GO:0062012;regulation of small molecule metabolic process;Sep 60;389/28891;1,07E-07;9,64E-06;6,55E-06;230163/11806/11808/238055/11814/13350/13850/14080/14555;9;Aldob,Apoa1,Apoa4,Apob,Apoc3,Dgat1,Ephx2,Fabp1,Gpd1
2473;CD8Tcells.Upregulated_yMB;CD8Tcells;Upregulated_yMB;GO:0055088;lipid homeostasis;Jul 60;184/28891;1,10E-07;9,64E-06;6,55E-06;11806/11808/238055/11814/13350/13850/65970;7;Apoa1,Apoa4,Apob,Apoc3,Dgat1,Ephx2,Lima1
3971;Macrophages.Downregulated_yMB;Macrophages;Downregulated_yMB;GO:0043161;proteasome-mediated ubiquitin-dependent protein catabolic process;146/3015;451/28891;2,25E-37;1,42E-33;6,48E-34;213990/11651/228361/23802/59008/70797/11789/11836/23806/23807/65256/77987/12005/67118/11797/12398/12488/217232/231600/12753/93687/104318/27373/12387/99375/28199/68970/223499/13194/67819/116891/27362/66861/207521/108687/66967/72194/50789/242960/57443/70611/103583/14155/240263/76425/14673/56637/207304/15204/64209/15216/22027/14828/16396/81601/330171/69259/71765/78913/17155/17156/227619/230815/26419/17246/17772/80750/18024/212114/217365/224109/53312/108155/54644/18521/67245/239510/56469/18786/20620/12795/19053/26931/19164/26442/19173/67089/70247/19185/66413/57296/19358/24105/68098/67338/68477/50849/22644/108660/75234/268291/19822/56353/20439/93759/64383/75788/66313/67296/20747/74646/56424/74126/21372/81004/24086/106021/211770/217069/79263/14897/22210/216080/66105/22213/22214/140499/93765/70620/22215/140630/63958/54609/224826/68795/59025/252870/22284/269523/225131/226757/107568/66894/226418/100494/387524;146;Agap3,Akt1,Ambra1,Amfr,Anapc5,Ankib1,Apc,Araf,Arih1,Arih2,Asb2,Ascc3,Axin1,Bfar,Birc2,Cbfa2t3,Cd2ap,Cdc27,Chfr,Clock,Csnk1a1,Csnk1d,Csnk1e,Ctnnb1,Cul4a,Dcaf11,Dcaf12,Dcaf13,Ddb1,Derl1,Derl2,Dnajb9,Dnajc10,Dtx4,Edem2,Edem3,Fbxl20,Fbxl3,Fbxl5,Fbxo3,Fbxo33,Fbxw11,Fem1b,Fem1c,Gid8,Gna12,Gsk3b,Hectd1,Herc2,Herpud1,Hfe,Hsp90b1,Hspa5,Itch,Kat5,Kctd10,Kctd5,Klhdc3,Ltn1,Man1a,Man1a2,Man1b1,Man1c1,Mapk8,Mdm2,Mtm1,N4bp1,Nfe2l2,Nhlrc3,Nploc4,Nrros,Nub1,Ogt,Otud5,Pcbp2,Peli1,Phf20l1,Pias1,Plaa,Plk2,Plk3,Ppp2cb,Ppp2r5c,Psen1,Psma5,Psmb5,Psmc6,Psmd1,Psmd4,Psmd6,Psmd8,Rad23a,Rbck1,Rchy1,Rffl,Rmnd5a,Rnf10,Rnf103,Rnf187,Rnf19b,Rnf217,Rnf4,Rybp,Siah2,Sirt1,Sirt2,Smurf1,Smurf2,Socs4,Spop,Spsb1,Stub1,Syvn1,Tbl1x,Tbl1xr1,Tlk2,Topors,Trib1,Trim25,Trim39,Trip12,Ube2b,Ube2d1,Ube2d3,Ube2g2,Ube2h,Ube2j2,Ube2n,Ube2v2,Ube3a,Ube4a,Ube4b,Ubqln2,Ubr2,Ubr3,Usp14,Usp7,Usp9x,Vcp,Wac,Wdr26,Wwp1,Wwp2,Yod1,Zfand2a,Znrf2
3973;Macrophages.Downregulated_yMB;Macrophages;Downregulated_yMB;GO:0002757;immune response-activating signaling pathway;139/3015;440/28891;2,43E-34;5,09E-31;2,33E-31;11350/81702/72993/216190/12043/109880/12229/12273/319430/12298/12363/208650/12475/102657/217303/21939/12524/56619/14747/93687/13205/329260/104418/105352/72349/13709/27028/22350/14284/108655/14360/14469/242691/78308/223752/14784/15461/15510/71586/16151/16179/108960/73914/54396/239743/27007/210808/16822/14728/107321/71268/240354/26413/26419/17164/228607/17260/54483/17874/246177/105855/59125/74039/18033/243910/18081/216799/64685/257632/217365/22259/18124/18176/73945/432940/18578/18607/67245/83490/18708/234779/101476/22038/19052/19164/19211/19255/19260/15170/19271/19280/80912/80913/66824/74998/226421/56715/24105/381305/19695/19697/76438/67664/110651/68585/74136/23921/64383/57738/65221/100561/106957/74585/20779/20869/20963/56480/230787/106759/117149/21897/24088/21899/57783/231130/414084/22031/22034/217069/20128/93765/54445/22217/22284/57257/232341/230738/78781/228136;139;Abl1,Ankrd17,Appl1,Appl2,Bcl2,Braf,Btk,C5ar1,C5ar2,Cacnb4,Casp4,Cblb,Cd14,Cd276,Cd300a,Cd40,Cd86,Clec4e,Cmklr1,Csnk1a1,Ddx3x,Dennd1b,Dgkz,Dusp22,Dusp3,Elf1,Ermap,Ezr,Fosl2,Foxp1,Fyn,Gbp2,Gpatch3,Gpr108,Gramd4,Grb2,Hras,Hspd1,Ifih1,Ikbkg,Irak1,Irak2,Irak3,Irgm2,Klhl6,Klrk1,Lacc1,Lcp2,Lilrb4a,Lpxn,Lrrfip2,Malt1,Mapk1,Mapk8,Mapkapk2,Mavs,Mef2c,Mefv,Myd88,Myo1g,Nckap1l,Nek7,Nfam1,Nfkb1,Nfkbid,Ninj1,Nlrp3,Nmi,Nod2,Nploc4,Nr1h3,Nr4a3,Nras,Otud4,Otulin,Pde4b,Pdpk1,Peli1,Pik3ap1,Pik3r1,Plcg2,Plekha1,Plscr1,Ppp2ca,Psen1,Pten,Ptpn2,Ptpn22,Ptpn6,Ptprj,Ptprs,Pum1,Pum2,Pycard,Rab11fip2,Rab7b,Rabgef1,Rbck1,Rc3h1,Reg3g,Rela,Rftn1,Rnf125,Rps6ka3,Rtn4,Sec14l1,Sh2b2,Sirt2,Slc15a2,Slc15a3,Slc15a4,Slc39a6,Sppl3,Src,Stk11,Syk,Tbk1,Themis2,Ticam1,Tirap,Tlr1,Tlr2,Tlr6,Tnip1,Tnip2,Tnip3,Traf3,Traf6,Trim25,Trim30a,Ube2n,Unc93b1,Usp12,Usp9x,Vav3,Wnk1,Zc3h12a,Zc3hav1,Zdhhc5
3979;Macrophages.Downregulated_yMB;Macrophages;Downregulated_yMB;GO:0045088;regulation of innate immune response;138/3015;474/28891;5,56E-30;3,88E-27;1,78E-27;11501/56417/11651/81702/11765/72993/216190/67526/12229/12363/12768/12475/217303/21939/12524/93694/56619/12928/93687/13205/13211/207521/14191/14469/229900/227331/242691/78308/223752/14824/14964/14972/14991/15015/110557/15018/15039/192231/15519/15510/71586/56489/16179/108960/73914/54396/81601/27007/210808/16768/16859/71268/17089/26419/17164/228607/54483/68350/17874/17916/80750/59125/18024/18081/434341/216799/64685/257632/53610/217365/22259/73945/432940/547253/80285/18521/18607/67245/83490/18708/234779/22038/19052/67857/19255/19260/19280/80912/80913/52118/66824/74998/226421/245945/19695/19697/76438/67664/110651/68585/56045/74136/71514/64383/30925/74748/57738/65221/100561/20779/20787/20847/20850/20851/20963/21354/21355/56480/21803/106759/117149/21897/24088/21899/57783/231130/414084/22031/22034/217069/20128/209387/54445/22324/229096/22631/78781/228136;138;Adam8,Adar,Akt1,Ankrd17,Ap1g1,Appl1,Appl2,Atg12,Btk,Casp4,Ccr1,Cd14,Cd300a,Cd40,Cd86,Clec2d,Clec4e,Crk,Csnk1a1,Ddx3x,Dhx9,Dtx4,Fgr,Gbp2,Gbp7,Gigyf2,Gpatch3,Gpr108,Gramd4,Grn,H2-D1,H2-K1,H2-M3,H2-Q4,H2-Q6,H2-Q7,H2-T22,Hexim1,Hsp90aa1,Hspd1,Ifih1,Ikbke,Irak1,Irak2,Irak3,Irgm2,Kat5,Klrk1,Lacc1,Lag3,Lgals9,Lrrfip2,Lyar,Mapk8,Mapkapk2,Mavs,Mefv,Mul1,Myd88,Myo1f,N4bp1,Nek7,Nfe2l2,Ninj1,Nlrc5,Nlrp3,Nmi,Nod2,Nono,Nploc4,Nr1h3,Otud4,Otulin,Parp14,Parp9,Pcbp2,Pdpk1,Peli1,Pik3ap1,Pik3r1,Plcg2,Plscr1,Ppp2ca,Ppp6c,Ptpn2,Ptpn22,Ptprs,Pum1,Pum2,Pvr,Pycard,Rab11fip2,Rab7b,Rbm47,Reg3g,Rela,Rftn1,Rnf125,Rps6ka3,Rtn4,Samhd1,Sec14l1,Sfpq,Sirt2,Slamf6,Slamf8,Slc15a2,Slc15a3,Slc15a4,Src,Srebf1,Stat2,Stat5a,Stat5b,Syk,Tap1,Tap2,Tbk1,Tgfb1,Ticam1,Tirap,Tlr1,Tlr2,Tlr6,Tnip1,Tnip2,Tnip3,Traf3,Traf6,Trim25,Trim30a,Trim30d,Unc93b1,Vav1,Ythdf3,Ywhaz,Zc3hav1,Zdhhc5
3981;Macrophages.Downregulated_yMB;Macrophages;Downregulated_yMB;GO:0016236;macroautophagy;97/3015;268/28891;1,62E-29;9,27E-27;4,24E-27;228361/67166/67526/51897/329015/66615/242557/235040/74772/11938/11975/56208/12177/234852/12952/13033/110147/13663/14387/15251/15368/15194/59026/16151/54396/73158/67443/26417/94178/17772/17918/17966/257632/18145/108155/217893/18475/18571/19302/78246/18704/18711/68943/108083/18786/19164/104009/19328/19324/76308/98732/69834/19349/64143/12421/67588/100502698/56367/140742/230784/93759/237782/75788/244962/170625/268656/18412/100226/100855/56480/27060/70381/21803/24088/233724/21968/22034/68728/54609/66530/67890/22241/29869/72344/78610/269523/75909/320528/230895/116733/20479/53612/225131/72145/66840/74781/226418;97;Ambra1,Arl8b,Atg12,Atg13,Atg2a,Atg4b,Atg4c,Atg4d,Atp13a2,Atp2a2,Atp6v0a1,Becn1,Bnip3l,Chmp1a,Cry1,Ctsd,Ehmt2,Ei24,Gaa,Hif1a,Hmox1,Htt,Huwe1,Ikbkg,Irgm2,Larp1,Map1lc3b,Mapk3,Mcoln1,Mtm1,Myo5a,Nbr1,Nod2,Npc1,Ogt,Pacs2,Pafah1b2,Pdcd6ip,Pex2,Phf23,Pik3c2a,Pikfyve,Pink1,Pip4k2b,Plaa,Psen1,Qsox1,Rab12,Rab1a,Rab1b,Rab3gap2,Rab43,Rab7,Ralb,Rb1cc1,Rnf41,Rubcn,Scoc,Sesn1,Sesn2,Sirt1,Smcr8,Smurf1,Snx14,Snx18,Sptlc1,Sqstm1,Stx12,Tbc1d14,Tbk1,Tcirg1,Tecpr1,Tgfb1,Tlr2,Tmem41b,Tom1,Traf6,Trp53inp2,Ubqln2,Ubxn6,Ufm1,Ulk1,Ulk2,Usp36,Uvrag,Vcp,Vmp1,Vps13c,Vps13d,Vps4a,Vps4b,Vti1b,Wac,Wdfy3,Wdr45b,Wipi2,Yod1
3992;Macrophages.Downregulated_yMB;Macrophages;Downregulated_yMB;GO:0030099;myeloid cell differentiation;133/3015;480/28891;1,21E-26;3,47E-24;1,59E-24;11501/56417/11518/11789/54411/53314/12053/12349/12398/20308/12768/214498/80280/12608/12633/93694/23845/53621/12912/12978/12986/12387/67087/99375/75766/13423/16418/328572/13819/26379/14104/14159/192176/14284/56484/108655/14381/14389/210710/78926/109801/107173/83924/56637/23897/15251/15361/15526/15902/22778/16331/64602/15900/16409/320404/16452/107817/16477/244349/217127/21847/50794/69188/98386/16825/14728/233328/17000/17089/16658/26416/17260/17874/17886/105855/18003/18015/18018/18032/18081/18129/14815/224109/18472/18708/18733/18771/22038/170826/19055/19164/230257/19247/19255/15170/226421/19401/215653/19664/217864/19698/19766/67588/14057/16923/14218/93759/18174/20535/71982/12703/20779/20846/20848/20850/20851/21423/27060/214133/209446/22042/21803/21833/212937/117149/24088/57259/22034/211770/72828/22339/242687/16969;133;Adam8,Adar,Add1,Apc,Atp6ap1,Batf,Bcl6,Car2,Cbfa2t3,Ccl9,Ccr1,Cdc73,Cdk5rap3,Cebpb,Cflar,Clec2d,Clec5a,Cnot4,Creb1,Csf1r,Csf3r,Ctnnb1,Ctnnbip1,Cul4a,Dcstamp,Dnase2a,Eif6,Ep300,Epas1,Esrra,Fasn,Fes,Flna,Fosl2,Foxo3,Foxp1,G6pdx,Gab2,Gab3,Gas2l1,Glo1,Gpr137,Gpr137b,Gsk3b,Hax1,Hif1a,Hmga1,Hspa9,Id2,Ikzf1,Inpp5d,Ireb2,Irf8,Itgam,Itpkb,Jak2,Jmjd6,Junb,Kat6a,Kat7,Klf10,Klf13,Kmt2e,Lbr,Ldb1,Lilrb4a,Lrrk1,Ltbr,Lyar,Mafb,Mapk14,Mef2c,Myd88,Myh9,Nckap1l,Nedd9,Nf1,Nfatc1,Nfix,Ninj1,Notch2,Nr3c1,Nrros,Pafah1b1,Pik3r1,Pirb,Pknox1,Plscr1,Ppargc1b,Ppp3ca,Psen1,Ptbp3,Ptpn11,Ptpn2,Ptpn6,Rab7b,Rara,Rassf2,Rbpj,Rcor1,Relb,Ripk1,Rnf41,Sfxn1,Sh2b3,Sh3pxd2a,Sirt1,Slc11a2,Slc4a2,Snx10,Socs1,Src,Stat1,Stat3,Stat5a,Stat5b,Tcf3,Tcirg1,Tet2,Tfe3,Tfrc,Tgfb1,Thra,Tifab,Tirap,Tlr2,Tob2,Traf6,Trib1,Ubash3b,Vegfa,Wasf2,Zbtb7a
7186;Macrophages.Upregulated_yMB;Macrophages;Upregulated_yMB;GO:0019886;antigen processing and presentation of exogenous peptide antigen via MHC class II;7/479;21/28891;3,14E-08;4,55E-05;3,68E-05;16149/13040/14127/14960/14961/15000/14969;7;Cd74,Ctss,Fcer1g,H2-Aa,H2-Ab1,H2-DMb2,H2-Eb1
7187;Macrophages.Upregulated_yMB;Macrophages;Upregulated_yMB;GO:0006457;protein folding;16/479;173/28891;3,53E-08;4,55E-05;3,68E-05;12461/16149/12539/22791/76299/15000/209586/68833/12304/18637/80294/268373/20316/70356/30931/101869;16;Cct2,Cd74,Cdc37,Dnajc2,Erp44,H2-DMb2,Nudcd3,Pdcl3,Pdia4,Pfdn2,Pofut2,Ppia,Sdf2,St13,Tor1a,Unc45a
7189;Macrophages.Upregulated_yMB;Macrophages;Upregulated_yMB;GO:0008380;RNA splicing;25/479;449/28891;1,69E-07;0,000130663;0,000105704;56215/12696/56724/66070/212880/67755/108160/14265/231413/72459/24010/66373/17975/237859/19383/60365/19656/19826/66618/20639/20641/51796/230908/67302/67197;25;Acin1,Cirbp,Cript,Cwc15,Ddx46,Ddx47,Fam50a,Fmr1,Grsf1,Htatsf1,Ik,Lsm5,Ncl,Nsrp1,Raly,Rbm8a,Rbmxl1,Rnps1,Snrnp27,Snrpb2,Snrpd1,Srrm1,Tardbp,Zc3h13,Zcrb1
7191;Macrophages.Upregulated_yMB;Macrophages;Upregulated_yMB;GO:0034976;response to endoplasmic reticulum stress;18/479;266/28891;5,78E-07;0,000308933;0,000249922;12915/11993/27061/12913/192193/76299/80517/18023/12304/68944/69038/72053/30931/53323/56085/225896/67490/56491;18;Atf6b,Aup1,Bcap31,Creb3,Edem1,Erp44,Herpud2,Nfe2l1,Pdia4,Tmco1,Tmem258,Tmub2,Tor1a,Ube2k,Ubqln1,Ubxn1,Ufl1,Vapb
7192;Macrophages.Upregulated_yMB;Macrophages;Upregulated_yMB;GO:0097193;intrinsic apoptotic signaling pathway;20/479;327/28891;6,84E-07;0,000308933;0,000249922;11669/65106/27061/16149/12913/99982/26395/26398/17319/18432/11545/268373/67941/66940/69076/53323/56085/14479/29813/52521;20;Aldh2,Arl6ip5,Bcap31,Cd74,Creb3,Kdm1a,Map2k1,Map2k4,Mif,Mybbp1a,Parp1,Ppia,Rps27l,Shisa5,Triap1,Ube2k,Ubqln1,Usp15,Zfp385a,Zfp622
7476;MAITcells.Downregulated_yMB;MAITcells;Downregulated_yMB;GO:0042742;defense response to bacterium;Dec 32;430/28891;1,75E-14;6,44E-12;4,33E-12;219033/23855/68009/66298/382059/503491/14972/16069/16855/17110/18489/69036;12;Ang4,Defa17,Defa20,Defa21,Defa22,Defa24,H2-K1,Jchain,Lgals4,Lyz1,Reg3b,Zg16
7480;MAITcells.Downregulated_yMB;MAITcells;Downregulated_yMB;GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide;Aug 32;151/28891;4,37E-12;6,02E-10;4,05E-10;219033/23855/68009/66298/382059/503491/16855/18489;8;Ang4,Defa17,Defa20,Defa21,Defa22,Defa24,Lgals4,Reg3b
7481;MAITcells.Downregulated_yMB;MAITcells;Downregulated_yMB;GO:0140975;disruption of cellular anatomical structure in another organism;Jun 32;47/28891;1,17E-11;1,38E-09;9,27E-10;23855/68009/66298/382059/503491/18489;6;Defa17,Defa20,Defa21,Defa22,Defa24,Reg3b
7483;MAITcells.Downregulated_yMB;MAITcells;Downregulated_yMB;GO:0141060;disruption of anatomical structure in another organism;Jul 32;156/28891;3,51E-10;3,23E-08;2,17E-08;23855/68009/66298/382059/503491/17110/18489;7;Defa17,Defa20,Defa21,Defa22,Defa24,Lyz1,Reg3b
