"";"Cluster";"signal";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count";"GENEID"
"23";"Downregulated in yMB";"Downregulated in yMB";"GO:0002181";"cytoplasmic translation";"7/208";"153/28905";0,0457516339869281;6,35793740573152;5,65720236250919;0,000126046909082462;0,0125498879042973;0,0113240312370193;"55944/13494/13667/56726/231207/66405/67671";7;"Eif3d,Drg1,Eif2b4,Sh3bgrl,Cpeb2,Mcts2,Rpl38"
"24";"Downregulated in yMB";"Downregulated in yMB";"GO:0043161";"proteasome-mediated ubiquitin-dependent protein catabolic process";"11/208";"394/28905";0,0279187817258883;3,87977108551347;4,89995673761732;0,000144843078981968;0,0132972865018123;0,0119984249152184;"81601/66799/19822/53323/68098/26440/56726/26441/211770/17463/19167";11;"Kat5,Ube2w,Rnf4,Ube2k,Rchy1,Psma1,Sh3bgrl,Psma4,Trib1,Psmd7,Psma3"
"25";"Downregulated in yMB";"Downregulated in yMB";"GO:0006448";"regulation of translational elongation";"3/208";"15/28905";0,2;27,7932692307692;8,83669691451411;0,000156780233864163;0,0132972865018123;0,0119984249152184;"192170/231207/276770";3;"Eif4a3,Cpeb2,Eif5a"
"26";"Downregulated in yMB";"Downregulated in yMB";"GO:0006465";"signal peptide processing";"3/208";"15/28905";0,2;27,7932692307692;8,83669691451411;0,000156780233864163;0,0132972865018123;0,0119984249152184;"56529/66624/76687";3;"Sec11a,Spcs2,Spcs3"
"27";"Downregulated in yMB";"Downregulated in yMB";"GO:2000622";"regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay";"3/208";"15/28905";0,2;27,7932692307692;8,83669691451411;0,000156780233864163;0,0132972865018123;0,0119984249152184;"15384/192170/60365";3;"Hnrnpab,Eif4a3,Rbm8a"
"28";"Downregulated in yMB";"Downregulated in yMB";"GO:0052548";"regulation of endopeptidase activity";"10/208";"336/28905";0,0297619047619048;4,13590315934066;4,92240286353886;0,000173863221505978;0,0142195277588818;0,0128305828502344;"83945/12042/23950/66824/13666/234069/55948/19167/26408/19192";10;"Dnaja3,Bcl10,Dnajb6,Pycard,Eif2ak3,Pcid2,Sfn,Psma3,Map3k5,Psme3"
"29";"Downregulated in yMB";"Downregulated in yMB";"GO:0000479";"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)";"3/208";"16/28905";0,1875;26,0561899038462;8,53495354716333;0,000191937880182517;0,0151141442779473;0,0136378143955921;"73736/78581/30946";3;"Fcf1,Utp23,Abt1"
"30";"Downregulated in yMB";"Downregulated in yMB";"GO:0008654";"phospholipid biosynthetic process";"8/208";"220/28905";0,0363636363636364;5,05332167832168;5,13792047132683;0,000204601953107584;0,0151141442779473;0,0136378143955921;"67422/268656/52014/18701/66586/116939/319554/208715";8;"Dhdds,Sptlc1,Nus1,Pigf,Crls1,Pnpla3,Idi1,Hmgcs1"
"31";"Downregulated in yMB";"Downregulated in yMB";"GO:2000116";"regulation of cysteine-type endopeptidase activity";"8/208";"220/28905";0,0363636363636364;5,05332167832168;5,13792047132683;0,000204601953107584;0,0151141442779473;0,0136378143955921;"83945/12042/23950/66824/13666/234069/55948/26408";8;"Dnaja3,Bcl10,Dnajb6,Pycard,Eif2ak3,Pcid2,Sfn,Map3k5"
"32";"Downregulated in yMB";"Downregulated in yMB";"GO:0006457";"protein folding";"7/208";"172/28905";0,0406976744186047;5,65560711091234;5,21365696035505;0,000259047770828814;0,018538106099937;0,0167273280966106;"83945/22027/14827/23950/93684/70604/50497";7;"Dnaja3,Hsp90b1,Pdia3,Dnajb6,Selenof,Dnajb14,Hspa14"
"33";"Downregulated in yMB";"Downregulated in yMB";"GO:0045862";"positive regulation of proteolysis";"10/208";"357/28905";0,0280112044817927;3,89261473820297;4,68197673749954;0,000282214587750088;0,0195839819984152;0,017671044202661;"83945/72736/12042/68098/66824/13666/211770/21854/26408/19192";10;"Dnaja3,Tmx1,Bcl10,Rchy1,Pycard,Eif2ak3,Trib1,Timm17a,Map3k5,Psme3"
"34";"Downregulated in yMB";"Downregulated in yMB";"GO:0045047";"protein targeting to ER";"4/208";"45/28905";0,0888888888888889;12,3525641025641;6,48850209572148;0,000308049204424185;0,0207480199450407;0,01872138044225;"27643/140740/66624/76687";4;"Ubl4a,Sec63,Spcs2,Spcs3"
"35";"Downregulated in yMB";"Downregulated in yMB";"GO:0006352";"DNA-templated transcription initiation";"7/208";"178/28905";0,0393258426966292;5,46496866897148;5,08716322656752;0,000318971330225543;0,0208698384633284;0,018831299886699;"74197/66310/69241/13486/234069/544971/68705";7;"Gtf2e1,Dpy30,Polr2d,Dr1,Pcid2,Bdp1,Gtf2f2"
"36";"Downregulated in yMB";"Downregulated in yMB";"GO:0006401";"RNA catabolic process";"9/208";"300/28905";0,03;4,16899038461538;4,69735048614362;0,000345558449298089;0,021981356913684;0,0198342466658523;"15384/192170/66362/66583/19826/60365/234069/192119/15381";9;"Hnrnpab,Eif4a3,Exosc3,Exosc1,Rnps1,Rbm8a,Pcid2,Dicer1,Hnrnpc"
"37";"Downregulated in yMB";"Downregulated in yMB";"GO:0000184";"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay";"4/208";"48/28905";0,0833333333333333;11,5805288461538;6,24589670296402;0,000395580788149841;0,0244832433746794;0,0220917521234179;"15384/192170/19826/60365";4;"Hnrnpab,Eif4a3,Rnps1,Rbm8a"
"38";"Downregulated in yMB";"Downregulated in yMB";"GO:0072599";"establishment of protein localization to endoplasmic reticulum";"4/208";"49/28905";0,0816326530612245;11,344191522763;6,16976924275822;0,000428334164909394;0,024573524775516;0,0221732149548783;"27643/140740/66624/76687";4;"Ubl4a,Sec63,Spcs2,Spcs3"
"39";"Downregulated in yMB";"Downregulated in yMB";"GO:0043281";"regulation of cysteine-type endopeptidase activity involved in apoptotic process";"7/208";"187/28905";0,0374331550802139;5,20194878650761;4,90779999103023;0,000429231873808139;0,024573524775516;0,0221732149548783;"83945/12042/23950/66824/13666/55948/26408";7;"Dnaja3,Bcl10,Dnajb6,Pycard,Eif2ak3,Sfn,Map3k5"
"40";"Downregulated in yMB";"Downregulated in yMB";"GO:0061136";"regulation of proteasomal protein catabolic process";"7/208";"187/28905";0,0374331550802139;5,20194878650761;4,90779999103023;0,000429231873808139;0,024573524775516;0,0221732149548783;"72736/53323/68098/13666/211770/18023/19192";7;"Tmx1,Ube2k,Rchy1,Eif2ak3,Trib1,Nfe2l1,Psme3"
"41";"Downregulated in yMB";"Downregulated in yMB";"GO:0006399";"tRNA metabolic process";"7/208";"188/28905";0,0372340425531915;5,17427884615385;4,88858578348645;0,000443156575656858;0,0247519160549806;0,0223341812070452;"54351/104458/66362/72946/74097/353172/68736";7;"Elp5,Rars1,Exosc3,Lrrc47,Pop7,Gars1,Tyw5"
"42";"Downregulated in yMB";"Downregulated in yMB";"GO:0061013";"regulation of mRNA catabolic process";"7/208";"189/28905";0,037037037037037;5,14690170940171;4,86950778420078;0,000457439656821518;0,0249413527171733;0,0225051139433744;"15384/192170/66362/60365/234069/192119/15381";7;"Hnrnpab,Eif4a3,Exosc3,Rbm8a,Pcid2,Dicer1,Hnrnpc"
"43";"Downregulated in yMB";"Downregulated in yMB";"GO:0006402";"mRNA catabolic process";"8/208";"252/28905";0,0317460317460317;4,41163003663004;4,63094414364756;0,000507295031325778;0,0270164098078147;0,0243774821662791;"15384/192170/66362/19826/60365/234069/192119/15381";8;"Hnrnpab,Eif4a3,Exosc3,Rnps1,Rbm8a,Pcid2,Dicer1,Hnrnpc"
"44";"Downregulated in yMB";"Downregulated in yMB";"GO:0006367";"transcription initiation at RNA polymerase II promoter";"6/208";"141/28905";0,0425531914893617;5,91346153846154;4,97926075412449;0,000565511065134847;0,0294322804354272;0,0265573737047776;"74197/66310/69241/13486/234069/68705";6;"Gtf2e1,Dpy30,Polr2d,Dr1,Pcid2,Gtf2f2"
"45";"Downregulated in yMB";"Downregulated in yMB";"GO:0046165";"alcohol biosynthetic process";"6/208";"143/28905";0,041958041958042;5,83075578267886;4,93021607160463;0,000609062662858939;0,0309945221765994;0,0279670177120959;"67422/268656/52014/16987/319554/208715";6;"Dhdds,Sptlc1,Nus1,Lss,Idi1,Hmgcs1"
"46";"Downregulated in yMB";"Downregulated in yMB";"GO:0035967";"cellular response to topologically incorrect protein";"5/208";"98/28905";0,0510204081632653;7,09011970172684;5,141410063048;0,000726083814221135;0,0361463464036174;0,0326156184740524;"71853/66799/28146/13666/70604";5;"Pdia6,Ube2w,Serp1,Eif2ak3,Dnajb14"
"47";"Upregulated in yMB";"Upregulated in yMB";"GO:0045926";"negative regulation of growth";"7/87";"261/28905";0,0268199233716475;8,91068833399392;7,0538200745385;1,42628749090998e-05;0,021151843490195;0,0171454769959915;"15586/19206/22241/20360/209212/360213/240514";7;"Hyal1,Ptch1,Ulk1,Sema6c,Osgin2,Trim46,Ccdc85b"
"48";"Upregulated in yMB";"Upregulated in yMB";"GO:0030308";"negative regulation of cell growth";"6/87";"205/28905";0,0292682926829268;9,72413793103448;6,88755670675626;3,70415643694034e-05;0,0228628170896479;0,0185323754241956;"15586/22241/20360/209212/360213/240514";6;"Hyal1,Ulk1,Sema6c,Osgin2,Trim46,Ccdc85b"
"49";"Upregulated in yMB";"Upregulated in yMB";"GO:0030204";"chondroitin sulfate metabolic process";"3/87";"25/28905";0,12;39,8689655172414;10,6827010282452;5,77387281883399e-05;0,0228628170896479;0,0185323754241956;"15586/100910/212898";3;"Hyal1,Chpf2,Dse"
"50";"Upregulated in yMB";"Upregulated in yMB";"GO:0001558";"regulation of cell growth";"8/87";"458/28905";0,0174672489082969;5,80334287004969;5,69330923075997;7,31499990520438e-05;0,0228628170896479;0,0185323754241956;"15586/20807/22241/29817/20360/209212/360213/240514";8;"Hyal1,Srf,Ulk1,Igfbp7,Sema6c,Osgin2,Trim46,Ccdc85b"
"51";"Upregulated in yMB";"Upregulated in yMB";"GO:1903510";"mucopolysaccharide metabolic process";"4/87";"79/28905";0,0506329113924051;16,8223483195111;7,73746998968306;9,68275429017187e-05;0,0228628170896479;0,0185323754241956;"15586/209378/100910/212898";4;"Hyal1,Itih5,Chpf2,Dse"
"52";"Upregulated in yMB";"Upregulated in yMB";"GO:0040013";"negative regulation of locomotion";"7/87";"364/28905";0,0192307692307692;6,38925729442971;5,68527791583521;0,000116774113358331;0,0228628170896479;0,0185323754241956;"20807/56363/13805/19273/105844/20360/20927";7;"Srf,Tmeff2,Eng,Ptpru,Card10,Sema6c,Abcc8"
"53";"Upregulated in yMB";"Upregulated in yMB";"GO:0050654";"chondroitin sulfate proteoglycan metabolic process";"3/87";"32/28905";0,09375;31,1476293103448;9,37538006460119;0,000122632878601073;0,0228628170896479;0,0185323754241956;"15586/100910/212898";3;"Hyal1,Chpf2,Dse"
"54";"Upregulated in yMB";"Upregulated in yMB";"GO:0050767";"regulation of neurogenesis";"8/87";"494/28905";0,0161943319838057;5,38042719530923;5,39564493761379;0,000123332796168026;0,0228628170896479;0,0185323754241956;"20807/76901/58234/22241/16878/20360/20927/360213";8;"Srf,Jade2,Shank3,Ulk1,Lif,Sema6c,Abcc8,Trim46"
"55";"Upregulated in yMB";"Upregulated in yMB";"GO:0006029";"proteoglycan metabolic process";"4/87";"88/28905";0,0454545454545455;15,1018808777429;7,27948535509168;0,000147214696399237;0,0242577105288964;0,0196630623728571;"15586/230815/100910/212898";4;"Hyal1,Man1c1,Chpf2,Dse"
"56";"Upregulated in yMB";"Upregulated in yMB";"GO:0030203";"glycosaminoglycan metabolic process";"4/87";"100/28905";0,04;13,2896551724138;6,76413769465629;0,000240853297602353;0,0357185440344289;0,0289531016696723;"15586/209378/100910/212898";4;"Hyal1,Itih5,Chpf2,Dse"
"57";"Upregulated in yMB";"Upregulated in yMB";"GO:0035907";"dorsal aorta development";"2/87";"10/28905";0,2;66,448275862069;11,3734845728733;0,000396721836996769;0,0434846254370854;0,0352482111290425;"20807/13805";2;"Srf,Eng"
"58";"Upregulated in yMB";"Upregulated in yMB";"GO:0030336";"negative regulation of cell migration";"6/87";"319/28905";0,0188087774294671;6,24905415630743;5,17972117768931;0,00041121955900509;0,0434846254370854;0,0352482111290425;"20807/56363/13805/19273/105844/20927";6;"Srf,Tmeff2,Eng,Ptpru,Card10,Abcc8"
"59";"Upregulated in yMB";"Upregulated in yMB";"GO:1990138";"neuron projection extension";"5/87";"208/28905";0,0240384615384615;7,98657161803714;5,55628118695813;0,000421058782908055;0,0434846254370854;0,0352482111290425;"20807/76901/22241/20360/360213";5;"Srf,Jade2,Ulk1,Sema6c,Trim46"
"60";"Upregulated in yMB";"Upregulated in yMB";"GO:0006022";"aminoglycan metabolic process";"4/87";"116/28905";0,0344827586206897;11,4565992865636;6,20030212842856;0,000424025567112805;0,0434846254370854;0,0352482111290425;"15586/209378/100910/212898";4;"Hyal1,Itih5,Chpf2,Dse"
"61";"Upregulated in yMB";"Upregulated in yMB";"GO:0021953";"central nervous system neuron differentiation";"5/87";"210/28905";0,0238095238095238;7,91050903119869;5,52234142375383;0,000439831005769575;0,0434846254370854;0,0352482111290425;"19206/58234/16825/24069/22241";5;"Ptch1,Shank3,Ldb1,Sufu,Ulk1"
"62";"Upregulated in yMB";"Upregulated in yMB";"GO:2000146";"negative regulation of cell motility";"6/87";"332/28905";0,0180722891566265;6,00436227669298;5,03902537131762;0,000507567868031663;0,0446962386707476;0,0362303329396272;"20807/56363/13805/19273/105844/20927";6;"Srf,Tmeff2,Eng,Ptpru,Card10,Abcc8"
"63";"Upregulated in yMB";"Upregulated in yMB";"GO:0008361";"regulation of cell size";"5/87";"223/28905";0,0224215246636771;7,449358280501;5,3121569967208;0,000577685036745115;0,0446962386707476;0,0362303329396272;"20807/58234/22241/20360/360213";5;"Srf,Shank3,Ulk1,Sema6c,Trim46"
"64";"Upregulated in yMB";"Upregulated in yMB";"GO:0006024";"glycosaminoglycan biosynthetic process";"3/87";"54/28905";0,0555555555555556;18,4578544061303;7,05527577260642;0,00058465046346013;0,0446962386707476;0,0362303329396272;"15586/100910/212898";3;"Hyal1,Chpf2,Dse"
"65";"Upregulated in yMB";"Upregulated in yMB";"GO:0048640";"negative regulation of developmental growth";"4/87";"128/28905";0,03125;10,3825431034483;5,84533595334514;0,000614694847369317;0,0446962386707476;0,0362303329396272;"19206/22241/20360/360213";4;"Ptch1,Ulk1,Sema6c,Trim46"
"66";"Upregulated in yMB";"Upregulated in yMB";"GO:0002042";"cell migration involved in sprouting angiogenesis";"3/87";"55/28905";0,0545454545454545;18,1222570532915;6,98354813343556;0,000617040628981751;0,0446962386707476;0,0362303329396272;"20807/26406/105844";3;"Srf,Map3k3,Card10"
"67";"Upregulated in yMB";"Upregulated in yMB";"GO:0061387";"regulation of extent of cell growth";"4/87";"129/28905";0,0310077519379845;10,302058273189;5,81788832505078;0,000632920439707147;0,0446962386707476;0,0362303329396272;"20807/22241/20360/360213";4;"Srf,Ulk1,Sema6c,Trim46"
